algorithm,outcome,model,feature_set,rsq_mean,rsq_sd,feature_file,id,roc_auc_trn,roc_auc_sd
xgboost,continuous,poisson,baseline,0.12303977781021075,0.019367333991472394,features_baseline,1,NA,NA
xgboost,continuous,normal,baseline,0.1908885860501941,0.02386808048402738,features_baseline,2,NA,NA
xgboost,binary_high_low,logistic,baseline,NA,NA,features_baseline,3,0.7050000000000001,0.01867381409191565
xgboost,continuous,poisson,raw,0.09971818628321752,0.01545774731352308,features_v1,4,NA,NA
xgboost,continuous,poisson,prop,0.1305375475835335,0.02052092747645779,features_v1,5,NA,NA
xgboost,continuous,poisson,all,0.12089672444544161,0.018444472394583664,features_v1,6,NA,NA
xgboost,continuous,normal,raw,0.1833398163764762,0.024314189812146173,features_v1,7,NA,NA
xgboost,continuous,normal,prop,0.14785325794843626,0.020532531486337022,features_v1,8,NA,NA
xgboost,continuous,normal,all,0.11701610455858824,0.0204310475413453,features_v1,9,NA,NA
xgboost,binary_high_low,logistic,raw,NA,NA,features_v1,10,0.7157729468599033,0.017224640198247817
xgboost,binary_high_low,logistic,prop,NA,NA,features_v1,11,0.7364251207729469,0.016544392577430084
xgboost,binary_high_low,logistic,all,NA,NA,features_v1,12,0.7157971014492754,0.019483618812439703
xgboost,continuous,poisson,raw,0.11785908636832221,0.01691581566540806,features_v2,13,NA,NA
xgboost,continuous,poisson,prop,0.11738821541000447,0.02036275848522734,features_v2,14,NA,NA
xgboost,continuous,poisson,all,0.11894386174482015,0.020692369311129874,features_v2,15,NA,NA
xgboost,continuous,normal,raw,0.1833398163764762,0.024314189812146173,features_v2,16,NA,NA
xgboost,continuous,normal,prop,0.16779263303852646,0.022721843498299196,features_v2,17,NA,NA
xgboost,continuous,normal,all,0.12923972590443755,0.022531945506209853,features_v2,18,NA,NA
xgboost,binary_high_low,logistic,raw,NA,NA,features_v2,19,0.7357487922705315,0.0186241665983045
xgboost,binary_high_low,logistic,prop,NA,NA,features_v2,20,0.7231884057971014,0.016684763730140172
xgboost,binary_high_low,logistic,all,NA,NA,features_v2,21,0.6982850241545894,0.021526655676330164
xgboost,continuous,poisson,raw,0.10548331161351003,0.015849182924270178,features_v3,22,NA,NA
xgboost,continuous,poisson,prop,0.13975332450619157,0.02017904266987725,features_v3,23,NA,NA
xgboost,continuous,poisson,all,0.13097943005376397,0.02030146849711595,features_v3,24,NA,NA
xgboost,continuous,normal,raw,0.1908885860501941,0.02386808048402738,features_v3,25,NA,NA
xgboost,continuous,normal,prop,0.1559889011682209,0.021069787867906625,features_v3,26,NA,NA
xgboost,continuous,normal,all,0.12332990750516665,0.021098935520090574,features_v3,27,NA,NA
xgboost,binary_high_low,logistic,raw,NA,NA,features_v3,28,0.7159178743961353,0.01588758757075576
xgboost,binary_high_low,logistic,prop,NA,NA,features_v3,29,0.7292270531400966,0.01590607205018249
xgboost,binary_high_low,logistic,all,NA,NA,features_v3,30,0.701280193236715,0.020020573429886477
xgboost,continuous,poisson,raw,0.12459181995504755,0.019160642591018455,features_v4,31,NA,NA
xgboost,continuous,poisson,prop,0.14990426122612902,0.02434566172343388,features_v4,32,NA,NA
xgboost,continuous,poisson,all,0.14760921906205923,0.025107651829892205,features_v4,33,NA,NA
xgboost,continuous,normal,raw,0.1908885860501941,0.02386808048402738,features_v4,34,NA,NA
xgboost,continuous,normal,prop,0.16796859072418238,0.023739737620704374,features_v4,35,NA,NA
xgboost,continuous,normal,all,0.13236752190036588,0.022150082707450683,features_v4,36,NA,NA
xgboost,binary_high_low,logistic,raw,NA,NA,features_v4,37,0.7543719806763285,0.01754655712830784
xgboost,binary_high_low,logistic,prop,NA,NA,features_v4,38,0.7429468599033816,0.0201410482069028
xgboost,binary_high_low,logistic,all,NA,NA,features_v4,39,0.7221256038647343,0.025805479170295346
