algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id
glmnet,continuous,normal,raw_incoming,0.033773423327013434,0.008693212571094023,features_cell_v2_full,57
glmnet,continuous,normal,raw_outgoing,0.025420927144269204,0.008538641679165244,features_cell_v2_full,58
glmnet,continuous,normal,raw_bidirectional,0.038040858861004744,0.008214717945759844,features_cell_v2_full,59
glmnet,continuous,normal,prop_incoming,0.03227306843427492,0.006296005521701203,features_cell_v2_full,60
glmnet,continuous,normal,prop_bidirectional,0.03227306843427492,0.006296005521701203,features_cell_v2_full,61
glmnet,continuous,normal,all_incoming,0.04185548683707491,0.013106111044462312,features_cell_v2_full,62
glmnet,continuous,normal,all_outgoing,0.025420927144269204,0.008538641679165244,features_cell_v2_full,63
glmnet,continuous,normal,all_bidirectional,0.03358078913035937,0.009523014404850606,features_cell_v2_full,64
glmnet,continuous,poisson,raw_incoming,0.058012885585603136,0.018997786641908748,features_cell_v1_network_v1,65
glmnet,continuous,poisson,raw_outgoing,0.06994197454818865,0.014819277968421102,features_cell_v1_network_v1,66
glmnet,continuous,poisson,raw_bidirectional,0.053864449426186456,0.019168025976989963,features_cell_v1_network_v1,67
glmnet,continuous,poisson,prop_incoming,0.13561980152427805,0.015060453808118305,features_cell_v1_network_v1,68
glmnet,continuous,poisson,prop_bidirectional,0.13561980152427805,0.015060453808118305,features_cell_v1_network_v1,69
glmnet,continuous,poisson,all_incoming,0.056520196434693123,0.016038056046541124,features_cell_v1_network_v1,70
glmnet,continuous,poisson,all_outgoing,0.07099856837762558,0.012741075230575197,features_cell_v1_network_v1,71
glmnet,continuous,poisson,all_bidirectional,0.0543002036234862,0.012926358257906686,features_cell_v1_network_v1,72
glmnet,continuous,normal,raw_incoming,0.04481128942192536,0.016663038755351647,features_cell_v1_network_v1,73
glmnet,continuous,normal,raw_outgoing,0.05035919349894945,0.015045338905707726,features_cell_v1_network_v1,74
glmnet,continuous,normal,raw_bidirectional,0.03728645923716946,0.010996020644656357,features_cell_v1_network_v1,75
glmnet,continuous,normal,prop_incoming,0.13591903608123362,0.015038724589381462,features_cell_v1_network_v1,76
glmnet,continuous,normal,prop_bidirectional,0.13591903608123362,0.015038724589381462,features_cell_v1_network_v1,77
glmnet,continuous,normal,all_incoming,0.05476174776097191,0.012277910381177991,features_cell_v1_network_v1,78
glmnet,continuous,normal,all_outgoing,0.04667833585926284,0.015880388279246815,features_cell_v1_network_v1,79
glmnet,continuous,normal,all_bidirectional,0.0488066777279899,0.01135377889485882,features_cell_v1_network_v1,80
glmnet,continuous,poisson,raw_incoming,0.06742192389683285,0.019965014077879678,features_cell_v1_network_v2,81
glmnet,continuous,poisson,raw_outgoing,0.051158572769719024,0.01535094189159575,features_cell_v1_network_v2,82
glmnet,continuous,poisson,raw_bidirectional,0.06074574408712125,0.017903501586216997,features_cell_v1_network_v2,83
glmnet,continuous,poisson,prop_incoming,0.1179348418367479,0.018179805833688445,features_cell_v1_network_v2,84
glmnet,continuous,poisson,prop_bidirectional,0.1179348418367479,0.018179805833688445,features_cell_v1_network_v2,85
glmnet,continuous,poisson,all_incoming,0.0838498494425119,0.01961341174816886,features_cell_v1_network_v2,86
glmnet,continuous,poisson,all_outgoing,0.07118208858530463,0.01824180551724843,features_cell_v1_network_v2,87
glmnet,continuous,poisson,all_bidirectional,0.07095178250739462,0.01775055039047816,features_cell_v1_network_v2,88
glmnet,continuous,normal,raw_incoming,0.05786902839536187,0.015525323823995334,features_cell_v1_network_v2,89
glmnet,continuous,normal,raw_outgoing,0.039310961012906515,0.013942258120963745,features_cell_v1_network_v2,90
glmnet,continuous,normal,raw_bidirectional,0.047360655853758524,0.013799635134716322,features_cell_v1_network_v2,91
glmnet,continuous,normal,prop_incoming,0.11969199345845871,0.019250049342970376,features_cell_v1_network_v2,92
glmnet,continuous,normal,prop_bidirectional,0.11969199345845871,0.019250049342970376,features_cell_v1_network_v2,93
