algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id,roc_auc_median,roc_auc_sd
glmnet,continuous,poisson,raw,0.03492713377695883,0.01101696073527114,features_msgs_v2,1,NA,NA
glmnet,continuous,poisson,prop,0.042281129080102356,0.010032187680369913,features_msgs_v2,2,NA,NA
glmnet,continuous,poisson,all,0.03431641920410791,0.011643395641040067,features_msgs_v2,3,NA,NA
glmnet,continuous,normal,raw,0.03980571010153183,0.008338604111193202,features_msgs_v2,4,NA,NA
glmnet,continuous,normal,prop,0.042776083997910164,0.010525748836605028,features_msgs_v2,5,NA,NA
glmnet,continuous,normal,all,0.03832838613925321,0.009738297496468823,features_msgs_v2,6,NA,NA
glmnet,binary,logistic,raw,NA,NA,features_msgs_v2,7,0.6231884057971014,0.01782231924598216
glmnet,binary,logistic,prop,NA,NA,features_msgs_v2,8,0.5,0.01785058643101083
glmnet,binary,logistic,all,NA,NA,features_msgs_v2,9,0.5833333333333334,0.017571722284718122
glmnet,continuous,poisson,raw,0.03229597434815919,0.007916534321851524,features_msgs_v2_full,10,NA,NA
glmnet,continuous,poisson,prop,0.029001746476387043,0.007109563251204357,features_msgs_v2_full,11,NA,NA
glmnet,continuous,poisson,all,0.0358306014101733,0.008676687829066106,features_msgs_v2_full,12,NA,NA
glmnet,continuous,normal,raw,0.038040858861004744,0.008214717945759844,features_msgs_v2_full,13,NA,NA
glmnet,continuous,normal,prop,0.03227306843427492,0.006296005521701203,features_msgs_v2_full,14,NA,NA
glmnet,continuous,normal,all,0.03358078913035937,0.009523014404850606,features_msgs_v2_full,15,NA,NA
glmnet,binary,logistic,raw,NA,NA,features_msgs_v2_full,16,0.6268115942028986,0.025291754322101616
glmnet,binary,logistic,prop,NA,NA,features_msgs_v2_full,17,0.5021739130434782,0.02203621754561253
glmnet,binary,logistic,all,NA,NA,features_msgs_v2_full,18,0.5927536231884059,0.017875361842527915
glmnet,continuous,poisson,raw,0.053382761310264225,0.014650517878041648,features_msgs_v2_contact_v1,19,NA,NA
glmnet,continuous,poisson,prop,0.13433424989160686,0.014736837116563348,features_msgs_v2_contact_v1,20,NA,NA
glmnet,continuous,poisson,all,0.055827459701227655,0.017173313048961022,features_msgs_v2_contact_v1,21,NA,NA
glmnet,continuous,normal,raw,0.05333124987805523,0.008026175196221511,features_msgs_v2_contact_v1,22,NA,NA
glmnet,continuous,normal,prop,0.13241797272210074,0.014404447758453188,features_msgs_v2_contact_v1,23,NA,NA
glmnet,continuous,normal,all,0.038552214956835855,0.015447436427896866,features_msgs_v2_contact_v1,24,NA,NA
glmnet,continuous,poisson,raw,0.04630199373240848,0.012450971190257332,features_msgs_v2_contact_v2,25,NA,NA
glmnet,continuous,poisson,prop,0.11848862983948491,0.018570272960124774,features_msgs_v2_contact_v2,26,NA,NA
glmnet,continuous,poisson,all,0.06898704058530937,0.021725942790036406,features_msgs_v2_contact_v2,27,NA,NA
glmnet,continuous,normal,raw,0.041713317316977895,0.009934160599745888,features_msgs_v2_contact_v2,28,NA,NA
glmnet,continuous,normal,prop,0.12187964746925847,0.019512385140832,features_msgs_v2_contact_v2,29,NA,NA
glmnet,continuous,normal,all,0.04560865076366695,0.01874540578649465,features_msgs_v2_contact_v2,30,NA,NA
glmnet,continuous,poisson,raw,0.03537391706024282,0.013597136960222113,features_msgs_v2_contact_v3,31,NA,NA
glmnet,continuous,poisson,prop,0.14304334717534287,0.015454777083624156,features_msgs_v2_contact_v3,32,NA,NA
glmnet,continuous,poisson,all,0.08243810102188345,0.014224967862971094,features_msgs_v2_contact_v3,33,NA,NA
glmnet,continuous,normal,raw,0.06196657420878239,0.008272542793279032,features_msgs_v2_contact_v3,34,NA,NA
glmnet,continuous,normal,prop,0.14344042526214565,0.015510671188961064,features_msgs_v2_contact_v3,35,NA,NA
glmnet,continuous,normal,all,0.08568862865090772,0.013500706590014885,features_msgs_v2_contact_v3,36,NA,NA
glmnet,continuous,poisson,raw,0.04813448229944453,0.010064734400878924,features_msgs_v2_contact_v4,37,NA,NA
glmnet,continuous,poisson,prop,0.14479560955194964,0.016442433295916145,features_msgs_v2_contact_v4,38,NA,NA
glmnet,continuous,poisson,all,0.07175555424229711,0.01708351134682783,features_msgs_v2_contact_v4,39,NA,NA
glmnet,continuous,normal,raw,0.05586435670333538,0.009566949491615236,features_msgs_v2_contact_v4,40,NA,NA
glmnet,continuous,normal,prop,0.1448023826710532,0.016497817302949663,features_msgs_v2_contact_v4,41,NA,NA
glmnet,continuous,normal,all,0.06773538799832993,0.012740643579313905,features_msgs_v2_contact_v4,42,NA,NA
glmnet,binary,logistic,raw,NA,NA,features_msgs_v2_contact_v1,43,0.7173913043478262,0.020159708884604464
glmnet,binary,logistic,prop,NA,NA,features_msgs_v2_contact_v1,44,0.7101449275362319,0.021327632221243856
glmnet,binary,logistic,all,NA,NA,features_msgs_v2_contact_v1,45,0.7101449275362319,0.01847959947637046
glmnet,binary,logistic,raw,NA,NA,features_msgs_v2_contact_v2,46,0.6956521739130435,0.02827041303884671
glmnet,binary,logistic,prop,NA,NA,features_msgs_v2_contact_v2,47,0.7246376811594203,0.02205212880469509
glmnet,binary,logistic,all,NA,NA,features_msgs_v2_contact_v2,48,0.7173913043478262,0.022457785095238613
glmnet,binary,logistic,raw,NA,NA,features_msgs_v2_contact_v3,49,0.7028985507246377,0.020201771313073047
glmnet,binary,logistic,prop,NA,NA,features_msgs_v2_contact_v3,50,0.761231884057971,0.023879437750017638
glmnet,binary,logistic,all,NA,NA,features_msgs_v2_contact_v3,51,0.7550724637681159,0.021297464762117805
glmnet,binary,logistic,raw,NA,NA,features_msgs_v2_contact_v4,52,0.677536231884058,0.01870430002634668
glmnet,binary,logistic,prop,NA,NA,features_msgs_v2_contact_v4,53,0.7655797101449275,0.023269705195699292
glmnet,binary,logistic,all,NA,NA,features_msgs_v2_contact_v4,54,0.7463768115942029,0.022462679476163788
