algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id,roc_auc_median,roc_auc_sd
glmnet,continuous,normal,all,0.14262827207628284,0.016375074021867792,features_full_v3,57,NA,NA
glmnet,continuous,poisson,raw,0.06884888787530191,0.013855438618464793,features_full_v4,58,NA,NA
glmnet,continuous,poisson,prop,0.14420761479660077,0.016417249718832853,features_full_v4,59,NA,NA
glmnet,continuous,poisson,all,0.1414485222021335,0.0159501415736269,features_full_v4,60,NA,NA
glmnet,continuous,normal,raw,0.06907439817703051,0.015035417705889457,features_full_v4,61,NA,NA
glmnet,continuous,normal,prop,0.14481301163033944,0.01654932193961376,features_full_v4,62,NA,NA
glmnet,continuous,normal,all,0.1408496150003078,0.01607193431951556,features_full_v4,63,NA,NA
glmnet,binary,logistic,raw,NA,NA,features_full_v1,64,0.6884057971014493,0.026690202779827005
glmnet,binary,logistic,prop,NA,NA,features_full_v1,65,0.7282608695652175,0.021611365439250935
glmnet,binary,logistic,all,NA,NA,features_full_v1,66,0.7282608695652175,0.020505827229639745
glmnet,binary,logistic,raw,NA,NA,features_full_v2,67,0.6847826086956522,0.024922938623283177
glmnet,binary,logistic,prop,NA,NA,features_full_v2,68,0.7282608695652174,0.02293428555062454
glmnet,binary,logistic,all,NA,NA,features_full_v2,69,0.7246376811594204,0.02342908612822506
glmnet,binary,logistic,raw,NA,NA,features_full_v3,70,0.6956521739130435,0.026679478739264906
glmnet,binary,logistic,prop,NA,NA,features_full_v3,71,0.7717391304347827,0.02427684536284022
glmnet,binary,logistic,all,NA,NA,features_full_v3,72,0.755072463768116,0.024017528846146503
glmnet,binary,logistic,raw,NA,NA,features_full_v4,73,0.6717391304347826,0.028085643020940586
glmnet,binary,logistic,prop,NA,NA,features_full_v4,74,0.7655797101449275,0.023269705195699292
glmnet,binary,logistic,all,NA,NA,features_full_v4,75,0.7471014492753623,0.022654548569762657
