algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id,roc_auc_median,roc_auc_sd
random_forest,binary,logistic,raw,NA,NA,features_contact_v4,37,0.6565217391304348,0.023051160071129274
random_forest,binary,logistic,prop,NA,NA,features_contact_v4,38,0.6666666666666667,0.02631412494266125
random_forest,binary,logistic,all,NA,NA,features_contact_v4,39,0.6521739130434783,0.02394502460985358
random_forest,continuous,poisson,raw,0.02011703677540943,0.011774977320580677,features_full_v1,40,NA,NA
random_forest,continuous,poisson,prop,0.040779612027900064,0.014160038507461597,features_full_v1,41,NA,NA
random_forest,continuous,poisson,all,0.02648499779237934,0.011688018650323201,features_full_v1,42,NA,NA
random_forest,continuous,normal,raw,0.02011703677540943,0.011774977320580677,features_full_v1,43,NA,NA
random_forest,continuous,normal,prop,0.040779612027900064,0.014160038507461597,features_full_v1,44,NA,NA
random_forest,continuous,normal,all,0.02648499779237934,0.011688018650323201,features_full_v1,45,NA,NA
random_forest,continuous,poisson,raw,0.04264724760892054,0.013405731039670242,features_full_v2,46,NA,NA
random_forest,continuous,poisson,prop,0.048702515273631466,0.01871694986466566,features_full_v2,47,NA,NA
random_forest,continuous,poisson,all,0.05909776324903248,0.016537542739292053,features_full_v2,48,NA,NA
random_forest,continuous,normal,raw,0.04264724760892054,0.013405731039670242,features_full_v2,49,NA,NA
random_forest,continuous,normal,prop,0.048702515273631466,0.01871694986466566,features_full_v2,50,NA,NA
random_forest,continuous,normal,all,0.05909776324903248,0.016537542739292053,features_full_v2,51,NA,NA
random_forest,continuous,poisson,raw,0.02334083658937358,0.00698845671044299,features_full_v3,52,NA,NA
random_forest,continuous,poisson,prop,0.029697966946673343,0.00752446935076889,features_full_v3,53,NA,NA
random_forest,continuous,poisson,all,0.022547944656867897,0.008203827936059097,features_full_v3,54,NA,NA
random_forest,continuous,normal,raw,0.02334083658937358,0.00698845671044299,features_full_v3,55,NA,NA
random_forest,continuous,normal,prop,0.029697966946673343,0.00752446935076889,features_full_v3,56,NA,NA
random_forest,continuous,normal,all,0.022547944656867897,0.008203827936059097,features_full_v3,57,NA,NA
random_forest,continuous,poisson,raw,0.04227364022154044,0.012455514822747938,features_full_v4,58,NA,NA
random_forest,continuous,poisson,prop,0.04477779003542785,0.014524367616351255,features_full_v4,59,NA,NA
random_forest,continuous,poisson,all,0.051609648635754304,0.012528040793848165,features_full_v4,60,NA,NA
random_forest,continuous,normal,raw,0.04227364022154044,0.012455514822747938,features_full_v4,61,NA,NA
random_forest,continuous,normal,prop,0.04477779003542785,0.014524367616351255,features_full_v4,62,NA,NA
random_forest,continuous,normal,all,0.051609648635754304,0.012528040793848165,features_full_v4,63,NA,NA
random_forest,binary,logistic,raw,NA,NA,features_full_v1,64,0.6594202898550725,0.021848437874022405
random_forest,binary,logistic,prop,NA,NA,features_full_v1,65,0.7108695652173913,0.02476122939228059
random_forest,binary,logistic,all,NA,NA,features_full_v1,66,0.6865942028985508,0.024525809780451442
random_forest,binary,logistic,raw,NA,NA,features_full_v2,67,0.6340579710144927,0.023327661307761476
random_forest,binary,logistic,prop,NA,NA,features_full_v2,68,0.6884057971014493,0.024317353081016627
random_forest,binary,logistic,all,NA,NA,features_full_v2,69,0.6702898550724639,0.022717894657759963
random_forest,binary,logistic,raw,NA,NA,features_full_v3,70,0.6239130434782608,0.021167757324347825
random_forest,binary,logistic,prop,NA,NA,features_full_v3,71,0.6775362318840581,0.023587359862445395
random_forest,binary,logistic,all,NA,NA,features_full_v3,72,0.672463768115942,0.024625831292065716
random_forest,binary,logistic,raw,NA,NA,features_full_v4,73,0.6521739130434783,0.0225163509501438
random_forest,binary,logistic,prop,NA,NA,features_full_v4,74,0.6702898550724639,0.026297614410746156
random_forest,binary,logistic,all,NA,NA,features_full_v4,75,0.648913043478261,0.02287714011075785
