algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id
glmnet,continuous,poisson,baseline,0.016622454308807197,0.005022020801684436,features_baseline,1
glmnet,continuous,normal,baseline,0.016622454308807197,0.0049800641587541715,features_baseline,2
glmnet,continuous,poisson,raw,0.09719468922667698,0.02171571062346278,features_contacts,3
glmnet,continuous,poisson,prop,0.1661594149765098,0.018391913122025417,features_contacts,4
glmnet,continuous,poisson,all,0.15964023105965536,0.01714894374094001,features_contacts,5
glmnet,continuous,normal,raw,0.1004951561174994,0.023627837825325765,features_contacts,6
glmnet,continuous,normal,prop,0.1632170105578977,0.017590382338877077,features_contacts,7
glmnet,continuous,normal,all,0.15685924888900826,0.017269683228766267,features_contacts,8
glmnet,continuous,poisson,raw,0.046330730286278335,0.023009542539368523,features_communications,9
glmnet,continuous,poisson,prop,0.08032085658938952,0.016044559590409825,features_communications,10
glmnet,continuous,poisson,all,0.06476993539303705,0.01620485880489183,features_communications,11
glmnet,continuous,normal,raw,0.035753177933056275,0.013460869482396104,features_communications,12
glmnet,continuous,normal,prop,0.07760850241517463,0.015810754071160633,features_communications,13
glmnet,continuous,normal,all,0.06297999385704979,0.01602020087760876,features_communications,14
glmnet,continuous,poisson,raw,0.04369353562903314,0.015777429670458972,features_combined,15
glmnet,continuous,poisson,prop,0.11672495553820617,0.017335802400238944,features_combined,16
glmnet,continuous,poisson,all,0.09714441140569693,0.01643511934766815,features_combined,17
glmnet,continuous,normal,raw,0.04671162053210959,0.018695006572174506,features_combined,18
glmnet,continuous,normal,prop,0.11314436686607085,0.01715841131680776,features_combined,19
glmnet,continuous,normal,all,0.07250673611740388,0.014669315503080396,features_combined,20
glmnet,continuous,poisson,raw,0.10468585506573927,0.016871385252724993,features_contacts_full,21
glmnet,continuous,poisson,prop,0.15102740422947292,0.018978812717337208,features_contacts_full,22
glmnet,continuous,poisson,all,0.14970807098979605,0.018308475643553358,features_contacts_full,23
glmnet,continuous,normal,raw,0.10671360958097996,0.018564782787137635,features_contacts_full,24
glmnet,continuous,normal,prop,0.15077721624566467,0.018977987067038387,features_contacts_full,25
glmnet,continuous,normal,all,0.14577620784423478,0.018194693341760552,features_contacts_full,26
glmnet,continuous,poisson,raw,0.04399478324117733,0.0214446167607063,features_communications_full,27
glmnet,continuous,poisson,prop,0.0798268964338075,0.014951447356727625,features_communications_full,28
glmnet,continuous,poisson,all,0.07109857354638707,0.015832309169290546,features_communications_full,29
glmnet,continuous,normal,raw,0.03963547373484527,0.013720287808835165,features_communications_full,30
glmnet,continuous,normal,prop,0.07281264819618379,0.01527979821541135,features_communications_full,31
glmnet,continuous,normal,all,0.06338607101730193,0.015385674470076757,features_communications_full,32
glmnet,continuous,poisson,raw,0.04983659215764455,0.025334081811723128,features_combined_full,33
glmnet,continuous,poisson,prop,0.11108772897194326,0.015303903257426565,features_combined_full,34
glmnet,continuous,poisson,all,0.08633207481781181,0.017253981267459712,features_combined_full,35
glmnet,continuous,normal,raw,0.05989356121966813,0.019171303216262772,features_combined_full,36
glmnet,continuous,normal,prop,0.10687770537795993,0.017460573692235956,features_combined_full,37
glmnet,continuous,normal,all,0.07194840419263468,0.017221399285391698,features_combined_full,38
